"","Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating","series"
"686","pokemon channel","GameCube","2003","Adventure","Nintendo",0.24,0.06,0.07,0.01,0.38,55,21,"6",22,"Ambrella","E","pokemon"
"687","battle & get! pokemon typing ds","Nintendo DS","2011","Misc","Nintendo",0,0,0.29,0,0.29,NA,NA,"",NA,"","","pokemon"
"688","pokemon box: ruby & sapphire","GameCube","2003","Misc","Nintendo",0,0,0.27,0.01,0.28,NA,NA,"",NA,"","","pokemon"
"689","pokemon i choose you / squirtle squad game boy advance video","Game BoyA","2004","Misc","Nintendo",0.13,0.05,0,0,0.18,NA,NA,"",NA,"","","pokemon"
"690","pokemon beach blank-out blastoise / go west young meowth game boy advance video","Game BoyA","2004","Misc","Nintendo",0.12,0.05,0,0,0.17,NA,NA,"",NA,"","","pokemon"
"691","pokemon: johto photo finish: game boy advance video","Game BoyA","2004","Misc","N/A",0.11,0.04,0,0,0.15,NA,NA,"",NA,"","","pokemon"
"692","pokemon: for ho-oh the bells toll!: game boy advance video","Game BoyA","2004","Misc","Nintendo",0.09,0.03,0,0,0.13,NA,NA,"",NA,"","","pokemon"
"693","pokemon rumble world","3Nintendo DS","2015","Action","Nintendo",0,0.01,0.08,0,0.09,58,16,"6.4",69,"Ambrella, The Pokemon Company","E10+","pokemon"
"694","kirby's dream land","Game Boy","1992","Platform","Nintendo",2.71,0.61,1.7,0.11,5.13,NA,NA,"",NA,"","","kirby"
"695","kirby super star ultra","Nintendo DS","2008","Platform","Nintendo",1.55,0.04,1.19,0.15,2.92,76,40,"8.8",76,"HAL Labs","E","kirby"
"696","kirby's dream land 2","Game Boy","1995","Platform","Nintendo",0.69,0.14,1.48,0.05,2.36,NA,NA,"",NA,"","","kirby"
"697","kirby: nightmare in dream land","Game BoyA","2002","Platform","Nintendo",1.22,0.1,0.91,0.04,2.27,81,24,"8.9",54,"HAL Labs","E","kirby"
"698","kirby's pinball land","Game Boy","1992","Misc","Nintendo",0.87,0.17,1.1,0.05,2.19,NA,NA,"",NA,"","","kirby"
"699","kirby's epic yarn","Wii","2010","Platform","Nintendo",1.42,0.09,0.45,0.1,2.06,NA,NA,"",NA,"","","kirby"
"700","kirby squeak squad","Nintendo DS","2006","Platform","Nintendo",0.78,0.02,1.05,0.08,1.94,71,29,"8.1",41,"Flagship, HAL Labs","E","kirby"
"701","kirby: triple deluxe","3Nintendo DS","2014","Platform","Nintendo",0.61,0.34,0.79,0.09,1.83,80,68,"8.8",206,"HAL Labs","E","kirby"
"702","kirby 64: the crystal shards","Nintendo 64","2000","Platform","Nintendo",0.63,0.06,1.03,0.04,1.77,NA,NA,"",NA,"","","kirby"
"703","kirby's adventure","NES","1993","Platform","Nintendo",0.79,0.14,0.8,0.02,1.75,NA,NA,"",NA,"","","kirby"
"704","kirby's return to dreamland","Wii","2011","Platform","Nintendo",0.58,0.21,0.79,0.07,1.65,77,49,"8.5",156,"HAL Labs","E10+","kirby"
"705","kirby & the amazing mirror","Game BoyA","2004","Platform","Nintendo",0.8,0.05,0.76,0.03,1.64,NA,NA,"",NA,"","","kirby"
"706","kirby air ride","GameCube","2003","Racing","Nintendo",1.01,0.11,0.45,0.04,1.62,61,28,"7.9",69,"HAL Labs","E","kirby"
"707","kirby super star","Super NES","1996","Platform","Nintendo",0.26,0.07,1.09,0.02,1.44,NA,NA,"",NA,"","","kirby"
"708","kirby tilt 'n' tumble","Game Boy","2000","Puzzle","Nintendo",0.29,0.17,0.75,0.02,1.23,NA,NA,"",NA,"","","kirby"
"709","kirby: mass attack","Nintendo DS","2011","Platform","Nintendo",0.48,0.06,0.41,0.05,0.99,83,46,"8.6",55,"HAL Labs","E","kirby"
"710","kirby: planet robobot","3Nintendo DS","2016","Action","Nintendo",0.28,0.14,0.47,0.04,0.93,81,71,"8.7",87,"HAL Labs","E","kirby"
"711","kirby: canvas curse","Nintendo DS","2005","Platform","Nintendo",0.36,0,0.32,0.03,0.72,86,48,"8.2",87,"HAL Labs","E","kirby"
"712","kirby's dream collection: special edition","Wii","2012","Action","Nintendo",0.33,0,0.33,0.02,0.67,82,6,"8.8",37,"HAL Labs","E10+","kirby"
"713","kirby's dream course","Super NES","1994","Sports","Nintendo",0,0,0.59,0,0.59,NA,NA,"",NA,"","","kirby"
